complaint_id,establishment_id,department_id,description,category,priority,status,created_at
56a2e407-48c2-4823-ace9-6c0619f583b1,99e95a32-0e3b-4532-94c5-ebff949aa911,a338e2f8-957f-46aa-8d6e-5d00ffabcfda,Safety violation,Hygiene,Low,Resolved,2026-07-12T13:03:34.386100
5dbb3c31-dc96-422c-ad7b-85dc2ab49f55,c17d3730-ade5-4852-9e0a-4469a1b3fb55,d8ef4900-75f2-4b9f-9815-b7dc608e0862,Safety violation,Hygiene,High,Resolved,2026-07-12T13:03:34.386131
ced258ad-0a4e-445e-b392-06c156ac465a,25a8a3f6-f163-4725-acd7-60b2bc4eb30e,a338e2f8-957f-46aa-8d6e-5d00ffabcfda,Pollution complaint,Environmental,High,Pending,2026-07-12T13:03:34.386142
36b4beb8-3b64-48b8-a4c9-584cafce4050,2e05324e-a573-4b48-8aca-d93cfa730c4a,a338e2f8-957f-46aa-8d6e-5d00ffabcfda,Pollution complaint,Fire,Low,Pending,2026-07-12T13:03:34.386150
489cde1d-c7f0-49a7-a97a-533f9e1bdb1f,4cc4cc08-4bb7-4ae4-81f0-fb54829b5a93,24353874-868b-46b4-8ac7-58527ba25067,Odour issue,Environmental,High,Pending,2026-07-12T13:03:34.386157
764cce74-678a-44ba-9136-f84aaa50c561,507b39a4-abee-44c7-bd33-0bd2ec053090,17c8b7df-21cc-4394-b4da-f0a1a25a0349,Safety violation,Hygiene,Medium,Resolved,2026-07-12T13:03:34.386164
9e809109-86e9-43f3-93d2-355319b2499b,d3f4eb7a-bda1-4fa4-b79a-098c3c394e47,17c8b7df-21cc-4394-b4da-f0a1a25a0349,Safety violation,Fire,Medium,Resolved,2026-07-12T13:03:34.386171
6f140be6-d031-4123-b607-cd65dd0c7d78,14483472-582b-4656-9d6c-cad4472ca569,718472ee-2192-4e7b-9d38-124525a57358,Safety violation,Environmental,Medium,Pending,2026-07-12T13:03:34.386178
fc332756-a9a9-4eff-a005-8f96f24c7993,1a5f21d3-2612-487e-b277-60794fab0ad7,718472ee-2192-4e7b-9d38-124525a57358,Odour issue,Fire,High,Pending,2026-07-12T13:03:34.386185
bc39fbe4-4f53-4e04-b84f-02907692164e,29690c6a-68ee-4063-af05-c53f93f83632,a338e2f8-957f-46aa-8d6e-5d00ffabcfda,Safety violation,Hygiene,Low,Pending,2026-07-12T13:03:34.386192
02a7cee0-9984-438f-bbe8-74fed6a25b6e,49269934-9d4c-4a64-abb3-1fba0778a491,17c8b7df-21cc-4394-b4da-f0a1a25a0349,Odour issue,Fire,Medium,Pending,2026-07-12T13:03:34.386200
d84f2309-4b5c-4ec3-a3ec-31a014e13b39,feb3a4ef-e820-43c0-9ab2-fa22c77b7e38,718472ee-2192-4e7b-9d38-124525a57358,Safety violation,Fire,Medium,Pending,2026-07-12T13:03:34.386253
6870f4bd-188d-45a6-88ee-d982aab51d4b,bf117044-cfa7-48be-a29b-94d61d18802e,24353874-868b-46b4-8ac7-58527ba25067,Pollution complaint,Hygiene,Low,Resolved,2026-07-12T13:03:34.386265
295cdce1-62ae-4e56-b116-46319a6ed3cf,c79d0ef4-e406-4de1-b8df-294eca14d005,718472ee-2192-4e7b-9d38-124525a57358,Pollution complaint,Fire,High,Resolved,2026-07-12T13:03:34.386274
0cfe5008-ef76-4971-8776-a3854ad3b09f,eb87c1f7-c50b-41c7-98fa-c9b33cd91f56,d8ef4900-75f2-4b9f-9815-b7dc608e0862,Pollution complaint,Fire,Low,Pending,2026-07-12T13:03:34.386281
87cd77b4-b3b2-40dc-a4bc-d5ff49744c11,80d01afb-e558-4fcf-8724-268fed22a70b,24353874-868b-46b4-8ac7-58527ba25067,Pollution complaint,Hygiene,Medium,Resolved,2026-07-12T13:03:34.386292
b346d19c-a53b-4a84-a859-86e23e5a2a4d,d9682b61-60d6-4382-bb18-b42799b3d885,17c8b7df-21cc-4394-b4da-f0a1a25a0349,Safety violation,Environmental,High,Pending,2026-07-12T13:03:34.386300
15eb09ba-b8af-4562-b7d3-e5117474131c,0c541e07-1126-4b4c-b428-18ef3b8c45c7,17c8b7df-21cc-4394-b4da-f0a1a25a0349,Safety violation,Fire,Medium,Pending,2026-07-12T13:03:34.386308
ba6d2d9e-c19f-495f-b315-3d0b70b0b535,3ffe6e26-a8e5-4dd2-9703-7959d4f0507d,17c8b7df-21cc-4394-b4da-f0a1a25a0349,Pollution complaint,Hygiene,Medium,Pending,2026-07-12T13:03:34.386315
975e522f-6b14-4513-a233-d8aa9618a304,1ebfdebd-e5fc-4a2d-bdaa-f5a9d6c559bb,24353874-868b-46b4-8ac7-58527ba25067,Odour issue,Environmental,Medium,Pending,2026-07-12T13:03:34.386322
60a36d11-fdfb-4507-a0aa-ea2c57c74c0a,bd0b14a8-e975-4f35-82e4-28a98684a660,24353874-868b-46b4-8ac7-58527ba25067,Pollution complaint,Hygiene,Medium,Pending,2026-07-12T13:03:34.386328
264f5598-b502-48a9-b67d-35bc6e901a1c,c8ee5084-97b8-41f5-a465-e2bb09dada18,17c8b7df-21cc-4394-b4da-f0a1a25a0349,Pollution complaint,Environmental,High,Resolved,2026-07-12T13:03:34.386335
d725dae6-af5f-4f9d-b490-832484a1b79c,d9e8cdbc-b212-49d7-8767-239bf6d62259,a338e2f8-957f-46aa-8d6e-5d00ffabcfda,Pollution complaint,Fire,Low,Resolved,2026-07-12T13:03:34.386341
53704628-f998-4c1a-a12d-4729199e3f7b,e4050d3d-3306-4495-905b-457ed19d7da5,a338e2f8-957f-46aa-8d6e-5d00ffabcfda,Pollution complaint,Hygiene,High,Pending,2026-07-12T13:03:34.386347
3d864c5c-3cc1-4554-b547-d64527401820,17e633d2-ed80-4c38-9250-9a515926cf2a,d8ef4900-75f2-4b9f-9815-b7dc608e0862,Odour issue,Hygiene,Low,Resolved,2026-07-12T13:03:34.386354
6a17fe44-2a6a-43d2-af4f-1eb188353c0e,e54bcd4f-44dc-474d-a943-980cbb95f3dc,17c8b7df-21cc-4394-b4da-f0a1a25a0349,Pollution complaint,Fire,Low,Pending,2026-07-12T13:03:34.386361
8761e100-fd1a-4ea0-b16a-c9d314b6e8f9,9418e444-092c-451a-92f6-2b02e7815da9,24353874-868b-46b4-8ac7-58527ba25067,Safety violation,Fire,High,Pending,2026-07-12T13:03:34.386368
